country,lat,lon
China,35.8617,104.1954
France,46.2276,2.2137
Japan,36.2048,138.2529
Malaysia,4.2105,101.9758
Nepal,28.3949,84.1240
Singapore,1.3521,103.8198
South Korea,35.9078,127.7669
Thailand,15.8700,100.9925
US,37.0902,-95.7129
Vietnam, 14.0583,108.2772
Australia,-25.2744,133.7751
Canada,56.1304,-106.3468
Cambodia,12.5657,104.9910
Sri Lanka,7.8731,80.7718
Germany,51.1657,10.4515
United Arab Emirates,23.4241,53.8478
Finland,61.9241,25.7482
Philippines,12.8797,121.7740
India,20.5937,78.9629
Italy,41.8719,12.5674
United Kingdom,55.3781,3.4360
Russia,61.5240,105.3188
Sweden,60.1282,18.6435
Spain,40.4637,3.7492
Belgium,50.5039,4.4699
Egypt,26.8206,30.8025
Iran,32.4279,53.6880
Lebanon,33.8547,35.8623
North Macedonia,41.6086,21.7453
Kuwait,29.3117,47.4818
Pakistan,30.3753,69.3451
Greece,39.0742,21.8243
Oman,32.5643,35.2419
Afghanistan,33.9391,67.7100
Algeria,28.0339,1.6596
Switzerland,46.8182,8.2275
Austria,47.5162,14.5501
Brazil,14.2350,51.9253
Romania,45.9432,24.9668
Norway,60.4720,8.4689
Georgia,32.1656,82.9001
Iraq,33.2232,43.6793
Bahrain,26.0667,50.5577
Croatia,45.1000,15.2000
Nigeria,9.0820,8.6753
Netherlands,52.1326,5.2913
Estonia,58.5953,25.0136
Israel,31.0461,34.8516
San Marino,43.9424,12.4578
Lithuania,55.1694,23.8813